Freq, Harmonic, V1, VAngle1, I1, IAngle1
108, 1.80833, 13.5558, -70.9539, 0.000459199, -86.3413
109, 1.81667, 13.6064, -70.8744, 0.000459981, -86.192
109, 1.82500, 13.6571, -70.7958, 0.000460765, -86.0433
110, 1.83333, 13.708, -70.7182, 0.000461551, -85.8951
111, 1.84167, 13.7591, -70.6414, 0.000462338, -85.7472
111, 1.85000, 13.8103, -70.5656, 0.000463128, -85.5999
111, 1.85833, 13.8617, -70.4907, 0.00046392, -85.4531
112, 1.86667, 13.9133, -70.4167, 0.000464713, -85.3066
113, 1.87500, 13.965, -70.3437, 0.000465509, -85.1607
113, 1.88333, 14.0169, -70.2715, 0.000466307, -85.0152
114, 1.89167, 14.0689, -70.2003, 0.000467106, -84.8701
114, 1.90000, 14.1212, -70.1299, 0.000467908, -84.7254
114, 1.90833, 14.1736, -70.0604, 0.000468712, -84.5812
115, 1.91667, 14.2261, -69.9919, 0.000469519, -84.4374
116, 1.92500, 14.2789, -69.9242, 0.000470327, -84.2941
116, 1.93333, 14.3318, -69.8574, 0.000471138, -84.1511
117, 1.94167, 14.3849, -69.7915, 0.000471951, -84.0086
117, 1.95000, 14.4381, -69.7265, 0.000472766, -83.8665
117, 1.95833, 14.4915, -69.6623, 0.000473583, -83.7247
118, 1.96667, 14.5451, -69.599, 0.000474403, -83.5834
119, 1.97500, 14.5988, -69.5366, 0.000475225, -83.4425
119, 1.98333, 14.6528, -69.4751, 0.00047605, -83.302
120, 1.99167, 14.7068, -69.4144, 0.000476877, -83.1619
120, 2.00000, 14.7611, -69.3546, 0.000477706, -83.0222
120, 2.00833, 14.8155, -69.2957, 0.000478538, -82.8828
121, 2.01667, 14.8701, -69.2376, 0.000479372, -82.7439
122, 2.02500, 14.9249, -69.1803, 0.000480209, -82.6053
122, 2.03333, 14.9798, -69.124, 0.000481048, -82.4671
123, 2.04167, 15.0349, -69.0684, 0.00048189, -82.3293
123, 2.05000, 15.0902, -69.0137, 0.000482735, -82.1918
123, 2.05833, 15.1457, -68.9599, 0.000483582, -82.0548
124, 2.06667, 15.2013, -68.9069, 0.000484432, -81.918
125, 2.07500, 15.2571, -68.8547, 0.000485284, -81.7817
125, 2.08333, 15.313, -68.8033, 0.000486139, -81.6457
126, 2.09167, 15.3692, -68.7528, 0.000486997, -81.5101
126, 2.10000, 15.4255, -68.7032, 0.000487858, -81.3749
126, 2.10833, 15.4819, -68.6543, 0.000488722, -81.24
127, 2.11667, 15.5386, -68.6063, 0.000489588, -81.1055
128, 2.12500, 15.5954, -68.5591, 0.000490458, -80.9713
128, 2.13333, 15.6524, -68.5127, 0.00049133, -80.8375
129, 2.14167, 15.7096, -68.4671, 0.000492205, -80.704
129, 2.15000, 15.7669, -68.4224, 0.000493083, -80.5709
129, 2.15833, 15.8244, -68.3784, 0.000493964, -80.4381
130, 2.16667, 15.8821, -68.3353, 0.000494849, -80.3056
131, 2.17500, 15.94, -68.293, 0.000495736, -80.1736
131, 2.18333, 15.998, -68.2515, 0.000496626, -80.0418
132, 2.19167, 16.0562, -68.2108, 0.00049752, -79.9104
132, 2.20000, 16.1146, -68.1709, 0.000498416, -79.7794
132, 2.20833, 16.1732, -68.1318, 0.000499316, -79.6487
133, 2.21667, 16.2319, -68.0935, 0.000500219, -79.5183
134, 2.22500, 16.2908, -68.0559, 0.000501126, -79.3882
134, 2.23333, 16.3499, -68.0192, 0.000502035, -79.2586
135, 2.24167, 16.4091, -67.9833, 0.000502948, -79.1292
135, 2.25000, 16.4686, -67.9482, 0.000503864, -79.0002
135, 2.25833, 16.5282, -67.9138, 0.000504784, -78.8715
136, 2.26667, 16.5879, -67.8802, 0.000505707, -78.7431
137, 2.27500, 16.6479, -67.8474, 0.000506634, -78.6151
137, 2.28333, 16.708, -67.8154, 0.000507564, -78.4874
138, 2.29167, 16.7683, -67.7842, 0.000508497, -78.36
138, 2.30000, 16.8288, -67.7537, 0.000509434, -78.233
138, 2.30833, 16.8895, -67.7241, 0.000510375, -78.1063
139, 2.31667, 16.9503, -67.6951, 0.000511319, -77.9799
140, 2.32500, 17.0113, -67.667, 0.000512267, -77.8538
140, 2.33333, 17.0725, -67.6396, 0.000513218, -77.7281
141, 2.34167, 17.1338, -67.613, 0.000514174, -77.6027
141, 2.35000, 17.1954, -67.5872, 0.000515133, -77.4776
141, 2.35833, 17.2571, -67.5621, 0.000516095, -77.3529
142, 2.36667, 17.319, -67.5377, 0.000517062, -77.2285
143, 2.37500, 17.3811, -67.5142, 0.000518033, -77.1044
143, 2.38333, 17.4433, -67.4913, 0.000519007, -76.9806
144, 2.39167, 17.5057, -67.4693, 0.000519985, -76.8572
144, 2.40000, 17.5683, -67.448, 0.000520967, -76.7341
144, 2.40833, 17.6311, -67.4274, 0.000521954, -76.6113
145, 2.41667, 17.6941, -67.4076, 0.000522944, -76.4888
146, 2.42500, 17.7572, -67.3885, 0.000523938, -76.3667
146, 2.43333, 17.8206, -67.3701, 0.000524937, -76.2448
147, 2.44167, 17.8841, -67.3525, 0.000525939, -76.1233
147, 2.45000, 17.9477, -67.3357, 0.000526946, -76.0022
147, 2.45833, 18.0116, -67.3195, 0.000527957, -75.8813
148, 2.46667, 18.0756, -67.3041, 0.000528973, -75.7608
149, 2.47500, 18.1399, -67.2894, 0.000529992, -75.6405
149, 2.48333, 18.2043, -67.2755, 0.000531016, -75.5207
150, 2.49167, 18.2689, -67.2623, 0.000532045, -75.4011
150, 2.50000, 18.3336, -67.2498, 0.000533077, -75.2818
150, 2.50833, 18.3986, -67.238, 0.000534115, -75.1629
151, 2.51667, 18.4637, -67.2269, 0.000535156, -75.0443
152, 2.52500, 18.529, -67.2166, 0.000536203, -74.926
152, 2.53333, 18.5945, -67.2069, 0.000537254, -74.808
153, 2.54167, 18.6602, -67.198, 0.000538309, -74.6904
153, 2.55000, 18.7261, -67.1898, 0.00053937, -74.573
153, 2.55833, 18.7921, -67.1823, 0.000540435, -74.456
154, 2.56667, 18.8584, -67.1755, 0.000541505, -74.3393
155, 2.57500, 18.9248, -67.1693, 0.00054258, -74.2229
155, 2.58333, 18.9914, -67.1639, 0.000543659, -74.1069
156, 2.59167, 19.0583, -67.1592, 0.000544744, -73.9911
156, 2.60000, 19.1252, -67.1552, 0.000545834, -73.8757
156, 2.60833, 19.1924, -67.1519, 0.000546929, -73.7606
157, 2.61667, 19.2598, -67.1492, 0.000548029, -73.6459
158, 2.62500, 19.3274, -67.1473, 0.000549134, -73.5314
158, 2.63333, 19.3952, -67.146, 0.000550244, -73.4173
159, 2.64167, 19.4631, -67.1454, 0.00055136, -73.3035
159, 2.65000, 19.5313, -67.1455, 0.000552481, -73.19
159, 2.65833, 19.5996, -67.1463, 0.000553608, -73.0768
160, 2.66667, 19.6682, -67.1478, 0.00055474, -72.964
161, 2.67500, 19.737, -67.1499, 0.000555878, -72.8515
161, 2.68333, 19.8059, -67.1527, 0.000557021, -72.7393
162, 2.69167, 19.8751, -67.1562, 0.000558171, -72.6274
162, 2.70000, 19.9444, -67.1604, 0.000559326, -72.5159
162, 2.70833, 20.014, -67.1652, 0.000560487, -72.4047
163, 2.71667, 20.0838, -67.1707, 0.000561653, -72.2938
164, 2.72500, 20.1538, -67.1768, 0.000562826, -72.1833
164, 2.73333, 20.224, -67.1837, 0.000564005, -72.0731
165, 2.74167, 20.2944, -67.1912, 0.000565191, -71.9632
165, 2.75000, 20.365, -67.1993, 0.000566382, -71.8537
165, 2.75833, 20.4359, -67.2082, 0.00056758, -71.7445
166, 2.76667, 20.5069, -67.2177, 0.000568784, -71.6356
167, 2.77500, 20.5782, -67.2278, 0.000569995, -71.5271
167, 2.78333, 20.6497, -67.2387, 0.000571213, -71.419
168, 2.79167, 20.7214, -67.2502, 0.000572437, -71.3112
168, 2.80000, 20.7934, -67.2623, 0.000573668, -71.2038
168, 2.80833, 20.8656, -67.2752, 0.000574906, -71.0967
169, 2.81667, 20.938, -67.2887, 0.000576152, -70.99
170, 2.82500, 21.0107, -67.3028, 0.000577404, -70.8836
170, 2.83333, 21.0836, -67.3177, 0.000578663, -70.7776
171, 2.84167, 21.1567, -67.3332, 0.00057993, -70.672
171, 2.85000, 21.2301, -67.3494, 0.000581204, -70.5668
171, 2.85833, 21.3037, -67.3662, 0.000582486, -70.462
172, 2.86667, 21.3776, -67.3838, 0.000583775, -70.3575
173, 2.87500, 21.4517, -67.402, 0.000585072, -70.2535
173, 2.88333, 21.5261, -67.4209, 0.000586377, -70.1499
174, 2.89167, 21.6007, -67.4406, 0.00058769, -70.0466
174, 2.90000, 21.6756, -67.4609, 0.00058901, -69.9438
174, 2.90833, 21.7507, -67.4818, 0.000590339, -69.8414
175, 2.91667, 21.8261, -67.5035, 0.000591677, -69.7395
176, 2.92500, 21.9018, -67.526, 0.000593022, -69.638
176, 2.93333, 21.9778, -67.5491, 0.000594376, -69.5369
177, 2.94167, 22.054, -67.5729, 0.000595739, -69.4363
177, 2.95000, 22.1305, -67.5975, 0.00059711, -69.3361
177, 2.95833, 22.2073, -67.6227, 0.00059849, -69.2364
178, 2.96667, 22.2843, -67.6487, 0.000599879, -69.1372
179, 2.97500, 22.3617, -67.6755, 0.000601277, -69.0385
179, 2.98333, 22.4393, -67.703, 0.000602684, -68.9403
180, 2.99167, 22.5172, -67.7312, 0.0006041, -68.8426
180, 3.00000, 22.5954, -67.7602, 0.000605525, -68.7454
180, 3.00833, 22.6739, -67.79, 0.00060696, -68.6487
181, 3.01667, 22.7527, -67.8205, 0.000608404, -68.5526
182, 3.02500, 22.8318, -67.8518, 0.000609858, -68.457
182, 3.03333, 22.9112, -67.8839, 0.000611322, -68.362
183, 3.04167, 22.991, -67.9169, 0.000612795, -68.2675
183, 3.05000, 23.071, -67.9506, 0.000614278, -68.1737
183, 3.05833, 23.1513, -67.9851, 0.000615771, -68.0804
184, 3.06667, 23.2319, -68.0204, 0.000617275, -67.9878
185, 3.07500, 23.3129, -68.0566, 0.000618788, -67.8957
185, 3.08333, 23.3942, -68.0936, 0.000620311, -67.8043
186, 3.09167, 23.4757, -68.1315, 0.000621845, -67.7135
186, 3.10000, 23.5576, -68.1702, 0.000623389, -67.6234
186, 3.10833, 23.6399, -68.2098, 0.000624944, -67.534
187, 3.11667, 23.7224, -68.2503, 0.000626509, -67.4452
188, 3.12500, 23.8053, -68.2917, 0.000628085, -67.3572
188, 3.13333, 23.8885, -68.3339, 0.000629671, -67.2698
189, 3.14167, 23.972, -68.3771, 0.000631268, -67.1832
189, 3.15000, 24.0559, -68.4212, 0.000632876, -67.0973
189, 3.15833, 24.1401, -68.4662, 0.000634495, -67.0121
190, 3.16667, 24.2246, -68.5122, 0.000636124, -66.9277
191, 3.17500, 24.3094, -68.5591, 0.000637765, -66.8441
191, 3.18333, 24.3946, -68.6069, 0.000639416, -66.7613
