,harmonico,amplitude,angulo
298,3.483333,100,0
299,3.491667,100,0
300,3.5,100,0
301,3.508333,100,0
302,3.516667,100,0
303,3.525,100,0
304,3.533333,100,0
305,3.541667,100,0
306,3.55,100,0
307,3.558333,100,0
308,3.566667,100,0
309,3.575,100,0
310,3.583333,100,0
311,3.591667,100,0
312,3.6,100,0
313,3.608333,100,0
314,3.616667,100,0
315,3.625,100,0
316,3.633333,100,0
317,3.641667,100,0
318,3.65,100,0
319,3.658333,100,0
320,3.666667,100,0
321,3.675,100,0
322,3.683333,100,0
323,3.691667,100,0
324,3.7,100,0
325,3.708333,100,0
326,3.716667,100,0
327,3.725,100,0
328,3.733333,100,0
329,3.741667,100,0
330,3.75,100,0
331,3.758333,100,0
332,3.766667,100,0
333,3.775,100,0
334,3.783333,100,0
335,3.791667,100,0
336,3.8,100,0
337,3.808333,100,0
338,3.816667,100,0
339,3.825,100,0
340,3.833333,100,0
341,3.841667,100,0
342,3.85,100,0
343,3.858333,100,0
344,3.866667,100,0
345,3.875,100,0
346,3.883333,100,0
347,3.891667,100,0
348,3.9,100,0
349,3.908333,100,0
350,3.916667,100,0
351,3.925,100,0
352,3.933333,100,0
353,3.941667,100,0
354,3.95,100,0
355,3.958333,100,0
356,3.966667,100,0
357,3.975,100,0
358,3.983333,100,0
359,3.991667,100,0
360,4.0,100,0
361,4.008333,100,0
362,4.016667,100,0
363,4.025,100,0
364,4.033333,100,0
365,4.041667,100,0
366,4.05,100,0
367,4.058333,100,0
368,4.066667,100,0
369,4.075,100,0
370,4.083333,100,0
371,4.091667,100,0
372,4.1,100,0
373,4.108333,100,0
374,4.116667,100,0
375,4.125,100,0
376,4.133333,100,0
377,4.141667,100,0
378,4.15,100,0
379,4.158333,100,0
380,4.166667,100,0
381,4.175,100,0
382,4.183333,100,0
383,4.191667,100,0
384,4.2,100,0
385,4.208333,100,0
386,4.216667,100,0
387,4.225,100,0
388,4.233333,100,0
389,4.241667,100,0
390,4.25,100,0
391,4.258333,100,0
392,4.266667,100,0
393,4.275,100,0
394,4.283333,100,0
395,4.291667,100,0
396,4.3,100,0
397,4.308333,100,0
398,4.316667,100,0
399,4.325,100,0
400,4.333333,100,0
401,4.341667,100,0
402,4.35,100,0
403,4.358333,100,0
404,4.366667,100,0
405,4.375,100,0
406,4.383333,100,0
407,4.391667,100,0
408,4.4,100,0
409,4.408333,100,0
410,4.416667,100,0
411,4.425,100,0
412,4.433333,100,0
413,4.441667,100,0
414,4.45,100,0
415,4.458333,100,0
416,4.466667,100,0
417,4.475,100,0
418,4.483333,100,0
419,4.491667,100,0
420,4.5,100,0
421,4.508333,100,0
422,4.516667,100,0
423,4.525,100,0
424,4.533333,100,0
425,4.541667,100,0
426,4.55,100,0
427,4.558333,100,0
428,4.566667,100,0
429,4.575,100,0
430,4.583333,100,0
431,4.591667,100,0
432,4.6,100,0
433,4.608333,100,0
434,4.616667,100,0
435,4.625,100,0
436,4.633333,100,0
437,4.641667,100,0
438,4.65,100,0
439,4.658333,100,0
440,4.666667,100,0
441,4.675,100,0
442,4.683333,100,0
443,4.691667,100,0
444,4.7,100,0
445,4.708333,100,0
446,4.716667,100,0
447,4.725,100,0
448,4.733333,100,0
449,4.741667,100,0
450,4.75,100,0
451,4.758333,100,0
452,4.766667,100,0
453,4.775,100,0
454,4.783333,100,0
455,4.791667,100,0
456,4.8,100,0
457,4.808333,100,0
458,4.816667,100,0
459,4.825,100,0
460,4.833333,100,0
461,4.841667,100,0
462,4.85,100,0
463,4.858333,100,0
464,4.866667,100,0
465,4.875,100,0
466,4.883333,100,0
467,4.891667,100,0
468,4.9,100,0
469,4.908333,100,0
470,4.916667,100,0
471,4.925,100,0
472,4.933333,100,0
473,4.941667,100,0
474,4.95,100,0
475,4.958333,100,0
476,4.966667,100,0
477,4.975,100,0
478,4.983333,100,0
479,4.991667,100,0
480,5.0,100,0
481,5.008333,100,0
482,5.016667,100,0
483,5.025,100,0
484,5.033333,100,0
485,5.041667,100,0
486,5.05,100,0
487,5.058333,100,0
488,5.066667,100,0
489,5.075,100,0
490,5.083333,100,0
491,5.091667,100,0
492,5.1,100,0
493,5.108333,100,0
494,5.116667,100,0
495,5.125,100,0
496,5.133333,100,0
497,5.141667,100,0
498,5.15,100,0
499,5.158333,100,0
500,5.166667,100,0
501,5.175,100,0
502,5.183333,100,0
503,5.191667,100,0
504,5.2,100,0
505,5.208333,100,0
506,5.216667,100,0
507,5.225,100,0
508,5.233333,100,0
509,5.241667,100,0
510,5.25,100,0
511,5.258333,100,0
512,5.266667,100,0
513,5.275,100,0
514,5.283333,100,0
515,5.291667,100,0
516,5.3,100,0
517,5.308333,100,0
518,5.316667,100,0
519,5.325,100,0
520,5.333333,100,0
521,5.341667,100,0
522,5.35,100,0
523,5.358333,100,0
524,5.366667,100,0
525,5.375,100,0
526,5.383333,100,0
527,5.391667,100,0
528,5.4,100,0
529,5.408333,100,0
530,5.416667,100,0
531,5.425,100,0
532,5.433333,100,0
533,5.441667,100,0
534,5.45,100,0
535,5.458333,100,0
536,5.466667,100,0
537,5.475,100,0
538,5.483333,100,0
539,5.491667,100,0
540,5.5,100,0
541,5.508333,100,0
542,5.516667,100,0
543,5.525,100,0
544,5.533333,100,0
545,5.541667,100,0
546,5.55,100,0
547,5.558333,100,0
548,5.566667,100,0
549,5.575,100,0
550,5.583333,100,0
551,5.591667,100,0
552,5.6,100,0
553,5.608333,100,0
554,5.616667,100,0
555,5.625,100,0
556,5.633333,100,0
557,5.641667,100,0
558,5.65,100,0
559,5.658333,100,0
560,5.666667,100,0
561,5.675,100,0
562,5.683333,100,0
563,5.691667,100,0
564,5.7,100,0
565,5.708333,100,0
566,5.716667,100,0
567,5.725,100,0
568,5.733333,100,0
569,5.741667,100,0
570,5.75,100,0
571,5.758333,100,0
572,5.766667,100,0
573,5.775,100,0
574,5.783333,100,0
575,5.791667,100,0
576,5.8,100,0
577,5.808333,100,0
578,5.816667,100,0
579,5.825,100,0
580,5.833333,100,0
581,5.841667,100,0
582,5.85,100,0
583,5.858333,100,0
584,5.866667,100,0
585,5.875,100,0
586,5.883333,100,0
587,5.891667,100,0
588,5.9,100,0
589,5.908333,100,0
590,5.916667,100,0
591,5.925,100,0
592,5.933333,100,0
593,5.941667,100,0
594,5.95,100,0
595,5.958333,100,0
596,5.966667,100,0
597,5.975,100,0
598,5.983333,100,0
599,5.991667,100,0
600,6.0,100,0
601,6.008333,100,0
602,6.016667,100,0
603,6.025,100,0
604,6.033333,100,0
605,6.041667,100,0
606,6.05,100,0
607,6.058333,100,0
608,6.066667,100,0
609,6.075,100,0
610,6.083333,100,0
611,6.091667,100,0
612,6.1,100,0
613,6.108333,100,0
614,6.116667,100,0
615,6.125,100,0
616,6.133333,100,0
617,6.141667,100,0
618,6.15,100,0
619,6.158333,100,0
620,6.166667,100,0
621,6.175,100,0
622,6.183333,100,0
623,6.191667,100,0
624,6.2,100,0
625,6.208333,100,0
626,6.216667,100,0
627,6.225,100,0
628,6.233333,100,0
629,6.241667,100,0
630,6.25,100,0
631,6.258333,100,0
632,6.266667,100,0
633,6.275,100,0
634,6.283333,100,0
635,6.291667,100,0
636,6.3,100,0
637,6.308333,100,0
638,6.316667,100,0
639,6.325,100,0
640,6.333333,100,0
641,6.341667,100,0
642,6.35,100,0
643,6.358333,100,0
644,6.366667,100,0
645,6.375,100,0
646,6.383333,100,0
647,6.391667,100,0
648,6.4,100,0
649,6.408333,100,0
650,6.416667,100,0
651,6.425,100,0
652,6.433333,100,0
653,6.441667,100,0
654,6.45,100,0
655,6.458333,100,0
656,6.466667,100,0
657,6.475,100,0
658,6.483333,100,0
659,6.491667,100,0
660,6.5,100,0
661,6.508333,100,0
662,6.516667,100,0
663,6.525,100,0
664,6.533333,100,0
665,6.541667,100,0
666,6.55,100,0
667,6.558333,100,0
668,6.566667,100,0
669,6.575,100,0
670,6.583333,100,0
671,6.591667,100,0
672,6.6,100,0
673,6.608333,100,0
674,6.616667,100,0
675,6.625,100,0
676,6.633333,100,0
677,6.641667,100,0
678,6.65,100,0
679,6.658333,100,0
680,6.666667,100,0
681,6.675,100,0
682,6.683333,100,0
683,6.691667,100,0
684,6.7,100,0
685,6.708333,100,0
686,6.716667,100,0
687,6.725,100,0
688,6.733333,100,0
689,6.741667,100,0
690,6.75,100,0
691,6.758333,100,0
692,6.766667,100,0
693,6.775,100,0
694,6.783333,100,0
695,6.791667,100,0
696,6.8,100,0
697,6.808333,100,0
698,6.816667,100,0
699,6.825,100,0
700,6.833333,100,0
701,6.841667,100,0
702,6.85,100,0
703,6.858333,100,0
704,6.866667,100,0
705,6.875,100,0
706,6.883333,100,0
707,6.891667,100,0
708,6.9,100,0
709,6.908333,100,0
710,6.916667,100,0
711,6.925,100,0
712,6.933333,100,0
713,6.941667,100,0
714,6.95,100,0
715,6.958333,100,0
716,6.966667,100,0
717,6.975,100,0
718,6.983333,100,0
719,6.991667,100,0
720,7.0,100,0
721,7.008333,100,0
722,7.016667,100,0
723,7.025,100,0
724,7.033333,100,0
725,7.041667,100,0
726,7.05,100,0
727,7.058333,100,0
728,7.066667,100,0
729,7.075,100,0
730,7.083333,100,0
731,7.091667,100,0
732,7.1,100,0
733,7.108333,100,0
